indicator,indicator_cn,section_en,section_cn,report_type
资产总计,Total Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
现金及存放中央银行款项,Cash and Reserves with Central Bank,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
现金,Cash,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
存放中央银行款项,Reserves with Central Bank,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
存放同业及其他金融机构款项,Due from Banks,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
贵金属,Precious Metals,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
拆出资金,Loans to Banks,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
买入返售金融资产,Reverse Repurchase Agreements,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
发放贷款及垫款,Loans and Advances to Customers,Balance Sheet - Assets / Notes,资产负债表 — 一、资产 / 附注,年报/半年报/季报
衍生金融资产,Derivative Financial Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
金融投资,Financial Investments,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以公允价值计量且其变动计入当期损益的金融投资,Financial Investments at FVTPL,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以摊余成本计量的金融投资,Financial Investments at Amortized Cost,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以公允价值计量且其变动计入其他综合收益的金融投资,Financial Investments at FVTOCI,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
以公允价值计量且其变动计入其他综合收益的债务工具投资,Debt Investments at FVTOCI,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
指定为以公允价值计量且其变动计入其他综合收益的权益工具投资,Equity Investments at FVTOCI,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
可供出售金融资产,Available-for-Sale Financial Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
持有至到期投资,Held-to-Maturity Investments,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
应收款项投资,Investment Receivables,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
应收利息,Interest Receivable,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
长期应收款,Long-term Receivables,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
长期股权投资,Long-term Equity Investments,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
投资性房地产,Investment Properties,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
固定资产,Fixed Assets,Balance Sheet - Assets / Notes,资产负债表 — 一、资产 / 附注,年报/半年报/季报
固定资产占总资产比率,Fixed Assets to Total Assets Ratio,Notes to Financial Statements,财务报表附注,年报/半年报/季报
在建工程,Construction in Progress,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
使用权资产,Right-of-Use Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
无形资产,Intangible Assets,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
商誉,Goodwill,Balance Sheet - Assets,资产负债表 — 一、资产,年报/半年报/季报
