指标名称,别名,模块,子模块,来源类型,报表类型,提取器,适用范围,所在位置,适用行业,适用子类型,适用公司,排除公司,akshare_statement,akshare_field,report_selectors,schema_hint,computed_formula,computed_inputs,单位,周期类型,方向,备注,csv_annotated,csv_source
资产总计,总资产 | 资产总额 | Total Assets,balance_sheet,一、资产,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,*,*,*,,balance_sheet,资产总计,,,,,元,annual,none,Standard balance-sheet line item; akshare preferred.,True,
负债合计,总负债 | Total Liabilities,balance_sheet,二、负债,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,*,*,*,,balance_sheet,负债合计,,,,,元,annual,none,Standard balance-sheet line item.,True,
所有者权益合计,股东权益合计 | 净资产 | Total Equity,balance_sheet,三、所有者权益,akshare,年报/半年报/季报,auto,universal[*],akshare:balance_sheet,*,*,*,,balance_sheet,所有者权益合计,,,,,元,annual,none,Standard balance-sheet line item.,True,
客户存款,存款总额 | Customer Deposits,balance_sheet,二、负债,report,年报/半年报/季报,llm,bank(*)[*],客户存款,bank,*,*,,,,客户存款 | 资产负债表,"{""indicator"": ""客户存款"", ""period"": ""本年""}",,,元,annual,none,Bank deposit balance; reported in the consolidated balance sheet narrative.,True,
发放贷款及垫款,贷款及垫款 | 贷款余额 | Loans and Advances to Customers,balance_sheet,一、资产,report,年报/半年报/季报,llm,bank(*)[*],发放贷款及垫款,bank,*,*,,,,发放贷款及垫款 | 资产负债表,,,,元,annual,none,Bank loan balance.,True,
资本充足率,CAR | Capital Adequacy Ratio,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率分析,bank,*,*,,,,资本充足率分析 | 资本充足率 | 风险管理,"{""indicator"": ""资本充足率"", ""period"": ""本年"", ""unit"": ""%""}",,,%,annual,higher_is_better,Bank-specific capital adequacy; not in akshare standard statements. Section title varies by bank.,True,
一级资本充足率,Tier 1 Capital Adequacy Ratio,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率分析,bank,*,*,,,,资本充足率分析 | 资本充足率 | 风险管理,"{""indicator"": ""一级资本充足率"", ""period"": ""本年"", ""unit"": ""%""}",,,%,annual,higher_is_better,Tier-1 capital adequacy.,True,
核心一级资本充足率,Common Equity Tier 1 Capital Adequacy Ratio,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率分析,bank,*,*,,,,资本充足率分析 | 资本充足率 | 风险管理,"{""indicator"": ""核心一级资本充足率"", ""period"": ""本年"", ""unit"": ""%""}",,,%,annual,higher_is_better,Core tier-1 capital adequacy.,True,
风险加权资产合计,RWA | Total Risk-Weighted Assets,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],资本充足率,bank,*,*,,,,资本充足率 | 风险管理,,,,元,annual,none,Risk-weighted assets.,True,
净利差,Net Interest Spread,balance_sheet,四、核心指标,report,年报/半年报,llm,bank(*)[*],主要财务指标,bank,*,*,,,,主要财务指标 | 财务概要 | 讨论与分析 | 管理层讨论与分析,,,,%,annual,higher_is_better,Net interest spread.,True,
